,country,vaccine,year,pop_est,vac_coverage,fvp,protected_cohort,cumulative_protected,cases_averted,dalys_averted,deaths_averted,total_pop,percent_protected,daly_by_pop
0,AFG,Hib3,1980,560287,,,,,,,,13356500.0,,
1,AFG,Hib3,1981,554782,,,,,,,,13171679.0,,
2,AFG,Hib3,1982,542780,,,,,,,,12882516.0,,
3,AFG,Hib3,1983,528117,,,,,,,,12537732.0,,
4,AFG,Hib3,1984,515712,,,,,,,,12204305.0,,
5,AFG,Hib3,1985,509527,,,,,,,,11938204.0,,
6,AFG,Hib3,1986,488175,,,,,,,,11736176.0,,
7,AFG,Hib3,1987,473958,,,,,,,,11604536.0,,
8,AFG,Hib3,1988,471963,,,,,,,,11618008.0,,
9,AFG,Hib3,1989,488604,,,,,,,,11868871.0,,
10,AFG,Hib3,1990,528014,,,,,,,,12412311.0,,
11,AFG,Hib3,1991,560291,,,,,,,,13299015.0,,
12,AFG,Hib3,1992,614854,,,,,,,,14485542.0,,
13,AFG,Hib3,1993,679064,,,,,,,,15816600.0,,
14,AFG,Hib3,1994,736401,,,,,,,,17075727.0,,
15,AFG,Hib3,1995,775956,,,,,,,,18110662.0,,
16,AFG,Hib3,1996,825693,,,,,,,,18853444.0,,
17,AFG,Hib3,1997,856668,,,,,,,,19357126.0,,
18,AFG,Hib3,1998,876524,,,,,,,,19737769.0,,
19,AFG,Hib3,1999,896412,,,,,,,,20170847.0,,
20,AFG,Hib3,2000,923490,,,,,,,,20779957.0,,
21,AFG,Hib3,2001,943329,,,,,,,,21606990.0,,
22,AFG,Hib3,2002,969507,,,,,,,,22600773.0,,
23,AFG,Hib3,2003,997398,,,,,,,,23680870.0,,
24,AFG,Hib3,2004,1021134,,,,,,,,24726689.0,,
25,AFG,Hib3,2005,1037339,,,,,,,,25654274.0,,
26,AFG,Hib3,2006,1058662,,,,,,,,26433058.0,,
27,AFG,Hib3,2007,1073645,,,,,,,,27100542.0,,
28,AFG,Hib3,2008,1084515,,,,,,,,27722280.0,,
